price,year,kilometers,brand
Rp 480.000.000,2017,65.000-70.000 km,Mitsubishi Pajero Sport
Rp 108.000.000,2022,5.000-10.000 km,Daihatsu Sigra
Rp 156.000.000,2018,95.000-100.000 km,Suzuki Baleno
Rp 200.000.000,2015,100.000-105.000 km,Honda CR-V
Rp 103.000.000,2017,80.000-85.000 km,Toyota Agya
Rp 204.500.000,2019,65.000-70.000 km,Wuling Almaz
Rp 95.000.000,2018,60.000-65.000 km,Daihatsu Ayla
Rp 95.000.000,2018,60.000-65.000 km,Daihatsu Ayla
Rp 163.000.000,2017,105.000-110.000 km,Toyota Sienta
Rp 163.000.000,2017,105.000-110.000 km,Toyota Sienta
Rp 163.000.000,2017,105.000-110.000 km,Toyota Sienta
Rp 270.000.000,2013,40.000-45.000 km,BMW 320i
Rp 119.000.000,2019,145.000-150.000 km,Suzuki Ertiga
Rp 233.000.000,2019,75.000-80.000 km,Honda HR-V
Rp 173.000.000,2017,60.000-65.000 km,Honda BR-V
Rp 155.000.000,2014,130.000-135.000 km,Mazda Biante
Rp 202.500.000,2019,90.000-95.000 km,Mitsubishi Xpander
Rp 256.000.000,2011,100.000-105.000 km,Toyota Vellfire
Rp 189.000.000,2015,55.000-60.000 km,Mazda Biante
Rp 2.400.000.000,2020,5.000-10.000 km,Toyota Land Cruiser
Rp 72.000.000,2009,100.000-105.000 km,Nissan Serena
Rp 117.000.000,2003,130.000-135.000 km,Ford Escape
Rp 189.000.000,2017,100.000-105.000 km,Honda HR-V
Rp 132.000.000,2018,50.000-55.000 km,Honda Brio Satya
Rp 218.000.000,2020,55.000-60.000 km,Mitsubishi Xpander
Rp 92.000.000,2018,55.000-60.000 km,Daihatsu Ayla
Rp 151.000.000,2013,60.000-65.000 km,Honda Jazz
Rp 399.999.999,2014,85.000-90.000 km,Toyota Harrier
Rp 134.000.000,2015,85.000-90.000 km,Daihatsu Terios
Rp 120.000.000,2018,75.000-80.000 km,Honda Brio
Rp 169.000.000,2012,85.000-90.000 km,Honda CR-V
Rp 205.000.000,2019,90.000-95.000 km,Mitsubishi Xpander
Rp 191.000.000,2019,80.000-85.000 km,Nissan Livina
Rp 236.000.000,2017,45.000-50.000 km,Mazda Biante
Rp 141.000.000,2017,85.000-90.000 km,Toyota Avanza
Rp 128.000.000,2014,95.000-100.000 km,Nissan Grand livina
Rp 175.000.000,2011,15.000-20.000 km,Smart Fortwo
Rp 2.300.000.000,2022,0-5.000 km,BMW M3
Rp 64.000.000,2003,125.000-130.000 km,Suzuki Karimun
Rp 147.000.000,2005,155.000-160.000 km,Toyota Alphard
Rp 450.000.000,2014,5.000-10.000 km,BMW 528i
Rp 130.000.000,2012,90.000-95.000 km,Ford Escape
Rp 395.000.000,2017,85.000-90.000 km,Honda CR-V
Rp 450.000.000,2015,25.000-30.000 km,BMW 528i
Rp 188.000.000,2016,120.000-125.000 km,Mitsubishi Outlander Sport
Rp 435.000.000,2019,35.000-40.000 km,Toyota Camry
Rp 105.000.000,2013,85.000-90.000 km,Mazda 2
Rp 198.000.000,2018,35.000-40.000 km,Toyota Yaris
Rp 75.000.000,2016,95.000-100.000 km,Daihatsu Ayla
Rp 173.000.000,2021,45.000-50.000 km,Suzuki XL7
Rp 158.000.000,2018,115.000-120.000 km,Toyota Avanza
Rp 204.000.000,2018,35.000-40.000 km,Mitsubishi Xpander
Rp 300.000.000,2016,105.000-110.000 km,Mitsubishi Pajero Sport
Rp 415.000.000,2022,20.000-25.000 km,Toyota Kijang Innova
Rp 240.000.000,2018,55.000-60.000 km,Honda HR-V
Rp 235.000.000,2003,125.000-130.000 km,Land Rover Range rover
Rp 243.500.000,2016,120.000-125.000 km,Honda CR-V
Rp 134.000.000,2019,25.000-30.000 km,Honda Brio Satya
Rp 134.000.000,2019,25.000-30.000 km,Honda Brio Satya
Rp 131.000.000,2016,55.000-60.000 km,Honda Mobilio
Rp 480.000.000,2020,10.000-15.000 km,BMW 320i
Rp 157.000.000,2017,50.000-55.000 km,Suzuki Baleno next-G
Rp 143.000.000,2007,125.000-130.000 km,Toyota Harrier
Rp 335.000.000,2018,35.000-40.000 km,Honda Civic
Rp 225.000.000,2018,105.000-110.000 km,Honda HR-V
Rp 225.000.000,2018,105.000-110.000 km,Honda HR-V
Rp 225.000.000,2018,105.000-110.000 km,Honda HR-V
Rp 348.000.000,2018,45.000-50.000 km,Toyota Voxy
Rp 130.000.000,2014,70.000-75.000 km,Mazda Biante
Rp 205.000.000,2019,60.000-65.000 km,Toyota Yaris
Rp 350.000.000,2017,85.000-90.000 km,Toyota Fortuner
Rp 145.000.000,2014,170.000-175.000 km,Honda CR-V
Rp 285.000.000,2020,40.000-45.000 km,Nissan Serena
Rp 195.000.000,2018,50.000-55.000 km,Daihatsu Terios
Rp 248.000.000,2022,15.000-20.000 km,Hyundai Stargazer
Rp 2.850.000.000,2023,0-5.000 km,Mobil CBU Mobil CBU Lainnya
Rp 295.800.000,2023,0-5.000 km,Hyundai Creta
Rp 135.000.000,2017,85.000-90.000 km,Honda Brio Satya
Rp 270.200.000,2023,0-5.000 km,Hyundai Stargazer
Rp 165.000.000,2009,185.000-190.000 km,Mitsubishi Pajero
Rp 530.000.000,2011,10.000-15.000 km,Mercedes-Benz E250
Rp 450.000.000,2015,20.000-25.000 km,BMW 528i
Rp 850.000.000,2019,25.000-30.000 km,Mercedes-Benz GLE400
Rp 1.187.000.000,2023,0-5.000 km,Hyundai Ioniq
Rp 199.000.000,2023,0-5.000 km,Wuling Air EV
Rp 835.000.000,2008,60.000-65.000 km,Toyota Land Cruiser
Rp 520.000.000,2012,50.000-55.000 km,Mini Coupe
Rp 122.000.000,2017,80.000-85.000 km,Mitsubishi L300
Rp 215.000.000,2019,30.000-35.000 km,Toyota Rush
Rp 179.000.000,2019,60.000-65.000 km,Wuling Almaz
Rp 138.500.000,2014,95.000-100.000 km,Toyota Rush
Rp 175.000.000,2018,80.000-85.000 km,Daihatsu Terios
Rp 63.000.000,2003,175.000-180.000 km,Toyota Vios
Rp 118.000.000,2017,20.000-25.000 km,Suzuki Ignis
Rp 650.000.000,2020,15.000-20.000 km,Mini 3 Door
Rp 138.000.000,2016,110.000-115.000 km,Honda Mobilio
Rp 197.000.000,2020,45.000-50.000 km,Suzuki XL7
Rp 177.000.000,2018,95.000-100.000 km,Chevrolet Trax
Rp 174.000.000,2019,60.000-65.000 km,Suzuki Baleno
Rp 198.000.000,2016,40.000-45.000 km,Peugeot 3008
Rp 153.000.000,2017,55.000-60.000 km,Suzuki Baleno
Rp 113.000.000,2017,60.000-65.000 km,Suzuki Ignis
Rp 134.000.000,2018,115.000-120.000 km,Daihatsu Xenia
Rp 142.000.000,2016,75.000-80.000 km,Toyota Sienta
Rp 143.000.000,2017,70.000-75.000 km,Suzuki Baleno
Rp 183.000.000,2019,35.000-40.000 km,Toyota Yaris
Rp 111.000.000,2018,55.000-60.000 km,Daihatsu Ayla
Rp 122.000.000,2015,110.000-115.000 km,Toyota Avanza
Rp 198.000.000,2019,60.000-65.000 km,Toyota Yaris
Rp 275.000.000,2018,100.000-105.000 km,Toyota Kijang Innova
Rp 187.000.000,2021,45.000-50.000 km,Suzuki XL7
Rp 205.000.000,2019,55.000-60.000 km,Toyota Yaris
Rp 127.000.000,2011,105.000-110.000 km,Toyota Corolla Altis
Rp 148.000.000,2019,85.000-90.000 km,Honda Brio Satya
Rp 205.000.000,2022,15.000-20.000 km,Toyota Raize
Rp 520.000.000,2021,30.000-35.000 km,Toyota Camry
Rp 124.000.000,2021,25.000-30.000 km,Daihatsu Ayla
Rp 1.225.000.000,2020,10.000-15.000 km,BMW X5
Rp 329.999.999,2015,35.000-40.000 km,BMW X1
Rp 124.000.000,2019,35.000-40.000 km,Toyota Calya
Rp 120.000.000,2017,110.000-115.000 km,Daihatsu Xenia
Rp 370.000.000,2015,40.000-45.000 km,BMW 320i
Rp 162.000.000,2015,70.000-75.000 km,Toyota Yaris
Rp 156.000.000,2015,100.000-105.000 km,Toyota Yaris
Rp 310.000.000,2017,25.000-30.000 km,Toyota Kijang Innova
Rp 118.000.000,2023,15.000-20.000 km,Daihatsu Sigra
Rp 166.000.000,2019,25.000-30.000 km,Daihatsu Xenia
Rp 103.000.000,2021,10.000-15.000 km,Daihatsu Ayla
